lap,driverId,constructorId,circuitId,milliseconds,grid,lap_time_sec,weather_condition,raceId,season
38,rus,mercedes,bahrain,96445,1,96.44560312674037,dry,1,2024
39,rus,mercedes,bahrain,96504,1,96.50460705505375,dry,1,2024
40,rus,mercedes,bahrain,96664,1,96.66403175433145,dry,1,2024
41,rus,mercedes,bahrain,96643,1,96.64359994183573,dry,1,2024
42,rus,mercedes,bahrain,96650,1,96.65094139470673,dry,1,2024
43,rus,mercedes,bahrain,96714,1,96.71412139978169,dry,1,2024
44,rus,mercedes,bahrain,96737,1,96.73702306598183,dry,1,2024
45,rus,mercedes,bahrain,96742,1,96.7422264789521,dry,1,2024
46,rus,mercedes,bahrain,96814,1,96.81423516514296,dry,1,2024
47,rus,mercedes,bahrain,96800,1,96.80076755426522,dry,1,2024
48,rus,mercedes,bahrain,96847,1,96.84772178027984,dry,1,2024
49,rus,mercedes,bahrain,96829,1,96.82953991133434,dry,1,2024
50,rus,mercedes,bahrain,96753,1,96.75370298250468,dry,1,2024
51,rus,mercedes,bahrain,96774,1,96.77479287405362,dry,1,2024
52,rus,mercedes,bahrain,96763,1,96.7636891023512,dry,1,2024
53,rus,mercedes,bahrain,96759,1,96.75948667194918,dry,1,2024
54,rus,mercedes,bahrain,96761,1,96.76193110294913,dry,1,2024
55,rus,mercedes,bahrain,96775,1,96.7755352413917,dry,1,2024
56,rus,mercedes,bahrain,96783,1,96.7831607166969,dry,1,2024
57,rus,mercedes,bahrain,96886,1,96.88609065873933,dry,1,2024
58,rus,mercedes,bahrain,96826,1,96.82606232582216,dry,1,2024
59,rus,mercedes,bahrain,96858,1,96.85878045138429,dry,1,2024
60,rus,mercedes,bahrain,96835,1,96.8350873612098,dry,1,2024
1,lec,ferrari,bahrain,96478,3,96.47857197133865,dry,1,2024
2,lec,ferrari,bahrain,96452,3,96.45229131305095,dry,1,2024
3,lec,ferrari,bahrain,96571,3,96.57100282282585,dry,1,2024
4,lec,ferrari,bahrain,96524,3,96.52427620977674,dry,1,2024
5,lec,ferrari,bahrain,96588,3,96.58849791256694,dry,1,2024
6,lec,ferrari,bahrain,96751,3,96.75135999579315,dry,1,2024
7,lec,ferrari,bahrain,96621,3,96.62109454247803,dry,1,2024
8,lec,ferrari,bahrain,96813,3,96.81305439757439,dry,1,2024
9,lec,ferrari,bahrain,96758,3,96.7583061685453,dry,1,2024
10,lec,ferrari,bahrain,96752,3,96.75205344978436,dry,1,2024
11,lec,ferrari,bahrain,96818,3,96.81898671456706,dry,1,2024
12,lec,ferrari,bahrain,96853,3,96.85365031476485,dry,1,2024
13,lec,ferrari,bahrain,96883,3,96.8832919971866,dry,1,2024
14,lec,ferrari,bahrain,96915,3,96.91508907123585,dry,1,2024
15,lec,ferrari,bahrain,97054,3,97.0542331079858,dry,1,2024
16,lec,ferrari,bahrain,97066,3,97.0669662038435,dry,1,2024
17,lec,ferrari,bahrain,97038,3,97.03850539188717,dry,1,2024
18,lec,ferrari,bahrain,97058,3,97.05834393782699,dry,1,2024
19,lec,ferrari,bahrain,97175,3,97.17598401299875,dry,1,2024
20,lec,ferrari,bahrain,97277,3,97.2774433246114,dry,1,2024
21,lec,ferrari,bahrain,97418,3,97.4188141061955,dry,1,2024
22,lec,ferrari,bahrain,97243,3,97.24334362355492,dry,1,2024
23,lec,ferrari,bahrain,97342,3,97.34225473423406,dry,1,2024
24,lec,ferrari,bahrain,97428,3,97.42896581016126,dry,1,2024
25,lec,ferrari,bahrain,97433,3,97.43344936038915,dry,1,2024
26,lec,ferrari,bahrain,97475,3,97.47583761806713,dry,1,2024
27,lec,ferrari,bahrain,97696,3,97.69604704251367,dry,1,2024
28,lec,ferrari,bahrain,97501,3,97.50100014388074,dry,1,2024
29,lec,ferrari,bahrain,97551,3,97.55116606742479,dry,1,2024
30,lec,ferrari,bahrain,97773,3,97.77339508509586,dry,1,2024
31,lec,ferrari,bahrain,97727,3,97.72734779477365,dry,1,2024
32,lec,ferrari,bahrain,97694,3,97.69420042678898,dry,1,2024
33,lec,ferrari,bahrain,97870,3,97.87060406696251,dry,1,2024
34,lec,ferrari,bahrain,97931,3,97.93165019724658,dry,1,2024
35,lec,ferrari,bahrain,98066,3,98.0669030274453,dry,1,2024
36,lec,ferrari,bahrain,98039,3,98.03971761535408,dry,1,2024
37,lec,ferrari,bahrain,97934,3,97.93416801921576,dry,1,2024
38,lec,ferrari,bahrain,98101,3,98.10101365449498,dry,1,2024
39,lec,ferrari,bahrain,98169,3,98.16958339135904,dry,1,2024
40,lec,ferrari,bahrain,98149,3,98.14993218706495,dry,1,2024
41,lec,ferrari,bahrain,98140,3,98.14045629125108,dry,1,2024
42,lec,ferrari,bahrain,98350,3,98.35059424991603,dry,1,2024
43,lec,ferrari,bahrain,98412,3,98.41237407645256,dry,1,2024
44,lec,ferrari,bahrain,98266,3,98.26632303608763,dry,1,2024
45,lec,ferrari,bahrain,98414,3,98.41491759608371,dry,1,2024
46,lec,ferrari,bahrain,98538,3,98.53858044552116,dry,1,2024
47,lec,ferrari,bahrain,98436,3,98.43677977275173,dry,1,2024
48,lec,ferrari,bahrain,98455,3,98.45515355220333,dry,1,2024
49,lec,ferrari,bahrain,98348,3,98.34812824434812,dry,1,2024
50,lec,ferrari,bahrain,98436,3,98.4366183137407,dry,1,2024
51,lec,ferrari,bahrain,98364,3,98.36480134891552,dry,1,2024
52,lec,ferrari,bahrain,98547,3,98.54704139462524,dry,1,2024
53,lec,ferrari,bahrain,98469,3,98.46946113422085,dry,1,2024
54,lec,ferrari,bahrain,98451,3,98.4519483811468,dry,1,2024
55,lec,ferrari,bahrain,98338,3,98.3380516207015,dry,1,2024
56,lec,ferrari,bahrain,98522,3,98.52219221131621,dry,1,2024
57,lec,ferrari,bahrain,98503,3,98.50323736336068,dry,1,2024
58,lec,ferrari,bahrain,98524,3,98.52404483497783,dry,1,2024
59,lec,ferrari,bahrain,98535,3,98.53528536468438,dry,1,2024
60,lec,ferrari,bahrain,98530,3,98.53016613220116,dry,1,2024
1,sai,ferrari,bahrain,94763,9,94.76352637048576,dry,1,2024
2,sai,ferrari,bahrain,94893,9,94.89354000953273,dry,1,2024
3,sai,ferrari,bahrain,94762,9,94.76239933865745,dry,1,2024
4,sai,ferrari,bahrain,94881,9,94.8815131117033,dry,1,2024
5,sai,ferrari,bahrain,94927,9,94.92731910039939,dry,1,2024
6,sai,ferrari,bahrain,94840,9,94.84089026438613,dry,1,2024
7,sai,ferrari,bahrain,94969,9,94.96917577811745,dry,1,2024
8,sai,ferrari,bahrain,95134,9,95.13418519131173,dry,1,2024
9,sai,ferrari,bahrain,95090,9,95.0902626060007,dry,1,2024
10,sai,ferrari,bahrain,95028,9,95.02825290249632,dry,1,2024
11,sai,ferrari,bahrain,95150,9,95.15008493207274,dry,1,2024
12,sai,ferrari,bahrain,95120,9,95.1207686095681,dry,1,2024
13,sai,ferrari,bahrain,95206,9,95.20695390593401,dry,1,2024
14,sai,ferrari,bahrain,95157,9,95.15731599012939,dry,1,2024
15,sai,ferrari,bahrain,95313,9,95.31374029405997,dry,1,2024
16,sai,ferrari,bahrain,95341,9,95.34114626524048,dry,1,2024
17,sai,ferrari,bahrain,95457,9,95.45773058253991,dry,1,2024
18,sai,ferrari,bahrain,95414,9,95.41425585485392,dry,1,2024
19,sai,ferrari,bahrain,95604,9,95.60485169673535,dry,1,2024
20,sai,ferrari,bahrain,95522,9,95.52298533514308,dry,1,2024
21,sai,ferrari,bahrain,95501,9,95.5011663303905,dry,1,2024
22,sai,ferrari,bahrain,95562,9,95.5627060093865,dry,1,2024
23,sai,ferrari,bahrain,95682,9,95.6821477959814,dry,1,2024
24,sai,ferrari,bahrain,95683,9,95.68311763559639,dry,1,2024
25,sai,ferrari,bahrain,95788,9,95.78810466417768,dry,1,2024
26,sai,ferrari,bahrain,95769,9,95.76984260783014,dry,1,2024
27,sai,ferrari,bahrain,95770,9,95.77004299974539,dry,1,2024
28,sai,ferrari,bahrain,95934,9,95.93414758502557,dry,1,2024
29,sai,ferrari,bahrain,95954,9,95.95439651031229,dry,1,2024
30,sai,ferrari,bahrain,95969,9,95.96949910169893,dry,1,2024
31,sai,ferrari,bahrain,96061,9,96.06108926277167,dry,1,2024
32,sai,ferrari,bahrain,96027,9,96.02746765891062,dry,1,2024
33,sai,ferrari,bahrain,96195,9,96.19557216309701,dry,1,2024
34,sai,ferrari,bahrain,96124,9,96.12459776197264,dry,1,2024
35,sai,ferrari,bahrain,96229,9,96.22946503356714,dry,1,2024
36,sai,ferrari,bahrain,96389,9,96.38930507492164,dry,1,2024
37,sai,ferrari,bahrain,96289,9,96.2896401202821,dry,1,2024
38,sai,ferrari,bahrain,96406,9,96.40618871435683,dry,1,2024
39,sai,ferrari,bahrain,96530,9,96.53022625344336,dry,1,2024
40,sai,ferrari,bahrain,96498,9,96.49824955622725,dry,1,2024
41,sai,ferrari,bahrain,96550,9,96.5507787153764,dry,1,2024
42,sai,ferrari,bahrain,96504,9,96.50410015536771,dry,1,2024
43,sai,ferrari,bahrain,96656,9,96.65677754431243,dry,1,2024
44,sai,ferrari,bahrain,96658,9,96.65895085012414,dry,1,2024
45,sai,ferrari,bahrain,96846,9,96.84677388305407,dry,1,2024
46,sai,ferrari,bahrain,96664,9,96.66426011240053,dry,1,2024
47,sai,ferrari,bahrain,96778,9,96.77834292111278,dry,1,2024
48,sai,ferrari,bahrain,96762,9,96.76244204103129,dry,1,2024
49,sai,ferrari,bahrain,96599,9,96.59973187442574,dry,1,2024
50,sai,ferrari,bahrain,96705,9,96.70524541390265,dry,1,2024
51,sai,ferrari,bahrain,96719,9,96.7198624713544,dry,1,2024
52,sai,ferrari,bahrain,96726,9,96.72658238453336,dry,1,2024
53,sai,ferrari,bahrain,96782,9,96.78220382409748,dry,1,2024
54,sai,ferrari,bahrain,96796,9,96.79645311725064,dry,1,2024
55,sai,ferrari,bahrain,96747,9,96.74723646136316,dry,1,2024
56,sai,ferrari,bahrain,96734,9,96.73414809431148,dry,1,2024
57,sai,ferrari,bahrain,96778,9,96.77842710834386,dry,1,2024
58,sai,ferrari,bahrain,96793,9,96.79380476374648,dry,1,2024
59,sai,ferrari,bahrain,96766,9,96.76634799034724,dry,1,2024
60,sai,ferrari,bahrain,96828,9,96.82885062656939,dry,1,2024
1,nor,mclaren,bahrain,95228,15,95.2289338122959,dry,1,2024
2,nor,mclaren,bahrain,95217,15,95.21727125602605,dry,1,2024
3,nor,mclaren,bahrain,95374,15,95.3741376211335,dry,1,2024
4,nor,mclaren,bahrain,95290,15,95.29005666972084,dry,1,2024
5,nor,mclaren,bahrain,95380,15,95.38055357048577,dry,1,2024
6,nor,mclaren,bahrain,95382,15,95.38210472222018,dry,1,2024
7,nor,mclaren,bahrain,95409,15,95.40927283553485,dry,1,2024
8,nor,mclaren,bahrain,95540,15,95.5403380915111,dry,1,2024
9,nor,mclaren,bahrain,95386,15,95.38630062033722,dry,1,2024
10,nor,mclaren,bahrain,95483,15,95.48357783443076,dry,1,2024
11,nor,mclaren,bahrain,95633,15,95.63367439163731,dry,1,2024
12,nor,mclaren,bahrain,95653,15,95.65351614950254,dry,1,2024
13,nor,mclaren,bahrain,95553,15,95.55370280221312,dry,1,2024
14,nor,mclaren,bahrain,95639,15,95.63972645046083,dry,1,2024
15,nor,mclaren,bahrain,95706,15,95.70607857505429,dry,1,2024
16,nor,mclaren,bahrain,95818,15,95.81884269036111,dry,1,2024
17,nor,mclaren,bahrain,95825,15,95.82597902701201,dry,1,2024
18,nor,mclaren,bahrain,95650,15,95.65003779525088,dry,1,2024
19,nor,mclaren,bahrain,96017,15,96.01752325671858,dry,1,2024
20,nor,mclaren,bahrain,95899,15,95.89959910283952,dry,1,2024
21,nor,mclaren,bahrain,95975,15,95.97530287520898,dry,1,2024
22,nor,mclaren,bahrain,96098,15,96.098603405096,dry,1,2024
23,nor,mclaren,bahrain,96089,15,96.08958280186292,dry,1,2024
24,nor,mclaren,bahrain,96011,15,96.0117916814988,dry,1,2024
25,nor,mclaren,bahrain,96223,15,96.22363429574281,dry,1,2024
26,nor,mclaren,bahrain,96451,15,96.45140160035791,dry,1,2024
27,nor,mclaren,bahrain,96402,15,96.40292938287952,dry,1,2024
28,nor,mclaren,bahrain,96300,15,96.30062139672754,dry,1,2024
